Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,8,10,0.14643707199369935,0.9543665647506714,130416.0,131968.0,7089.0,5457.0,0.9831214547157288,0.13307239712391614,0.9568716287612916,6897.0,7014.0,320.0,307.0,0.9854071736335754
chebyshev_sigmoid,27/04/2020 13:25,1347.358677148819,32,9,10,0.14336512683122918,0.9553049802780152,130494.0,132148.0,7011.0,5277.0,0.983733057975769,0.1324006508370101,0.9572155475616456,6914.0,7002.0,303.0,319.0,0.9856805205345154
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,0,10,0.19031397855906645,0.9362783432006836,128739.0,128672.0,8766.0,8753.0,0.9758123159408568,0.1594642140191627,0.9468978047370912,6791.0,6975.0,426.0,346.0,0.9806360602378844
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,1,10,0.1598311017520824,0.9487251043319702,129705.0,131128.0,7800.0,6297.0,0.9807013869285583,0.13895898222875105,0.9565277099609376,6822.0,7084.0,395.0,237.0,0.9844605922698976
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,2,10,0.14237075347690614,0.9551376700401306,130416.0,132180.0,7089.0,5245.0,0.9839414358139038,0.12662298526281274,0.9609299898147584,6790.0,7180.0,427.0,141.0,0.9881181716918944
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,3,10,0.13052751276537342,0.9588804244995116,130861.0,132764.0,6644.0,4661.0,0.9862565398216248,0.11637939839288315,0.9622368812561036,6938.0,7051.0,279.0,270.0,0.9889400005340576
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,4,10,0.12538670601764096,0.9602407813072203,131050.0,132949.0,6455.0,4476.0,0.9872927069664,0.10940464566570518,0.9665015935897828,6894.0,7157.0,323.0,164.0,0.9896815419197084
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,5,10,0.12119018923536905,0.9616338610649108,131229.0,133153.0,6276.0,4272.0,0.987991750240326,0.10710376070450783,0.9668455123901368,6897.0,7159.0,320.0,162.0,0.9900851249694824
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,6,10,0.11920854044995573,0.962306797504425,131301.0,133266.0,6204.0,4159.0,0.9883089661598206,0.1049685032338966,0.9659513235092164,6938.0,7105.0,279.0,216.0,0.9903526902198792
taylor_tanh,27/04/2020 13:50,1486.8858077526093,32,7,10,0.11687097843721912,0.9631360769271852,131452.0,133343.0,6053.0,4082.0,0.98874694108963,0.1026760761085772,0.9676021337509156,6913.0,7154.0,304.0,167.0,0.9907290935516356
