Model Name,Date,Train Time,Batch Size,Epoch #,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,4,10,0.12578094111315727,0.9601316452026368,131000.0,132969.0,6471.0,4490.0,0.9872700572013856,0.11530953739696854,0.9647131562232972,6945.0,7080.0,306.0,207.0,0.9883607029914856
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,5,10,0.12210281982498145,0.9611719250679016,131122.0,133133.0,6349.0,4326.0,0.9878807663917542,0.11414462614849093,0.9652634263038636,6917.0,7116.0,334.0,171.0,0.9887932538986206
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,6,10,0.11987690130467565,0.9617429971694946,131219.0,133193.0,6252.0,4266.0,0.9883037209510804,0.11190313057362067,0.9659513235092164,6905.0,7138.0,346.0,149.0,0.989238739013672
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,7,10,0.11757948046610925,0.9627687335014344,131383.0,133311.0,6088.0,4148.0,0.9886149168014526,0.10689267500319444,0.9671894311904908,6945.0,7116.0,306.0,171.0,0.9895219206809998
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,8,10,0.11496497732620188,0.9636343717575072,131442.0,133490.0,6029.0,3969.0,0.9890689849853516,0.10775352600172176,0.9678772687911988,6937.0,7134.0,314.0,153.0,0.9895715713500975
v2_taylor_tanh,20/05/2020 19:22,1790.506939649582,32,9,10,0.11353539067286955,0.9642963409423828,131552.0,133562.0,5919.0,3897.0,0.9892478585243224,0.10394223225950654,0.9684963822364808,6971.0,7109.0,280.0,178.0,0.9901714324951172
v2_taylor_relu,20/05/2020 19:48,1569.0920486450195,32,0,10,0.22367419241401995,0.9293965697288512,128627.0,126892.0,8844.0,10567.0,0.971189260482788,0.17985365107145085,0.94462788105011,6830.0,6903.0,421.0,384.0,0.9772121906280518
v2_taylor_relu,20/05/2020 19:48,1569.0920486450195,32,1,10,0.1681387311769918,0.9457098245620728,129600.0,130404.0,7871.0,7055.0,0.9798917174339294,0.15510745290377262,0.9530884623527528,6816.0,7040.0,435.0,247.0,0.9812315106391908
v2_taylor_relu,20/05/2020 19:48,1569.0920486450195,32,2,10,0.1495976131729863,0.95256245136261,130177.0,131711.0,7294.0,5748.0,0.9829712510108948,0.1412132092168477,0.9586600661277772,6847.0,7090.0,404.0,197.0,0.9841408133506776
v2_taylor_relu,20/05/2020 19:48,1569.0920486450195,32,3,10,0.14024164759060853,0.9560724496841432,130675.0,132178.0,6796.0,5281.0,0.9846203327178956,0.1376895875165085,0.9606548547744752,6852.0,7114.0,399.0,173.0,0.9847880601882936
