Model Name,Date,Train Time,Batch Size,Epochs,Loss,Accuracy,True Positives,True Negatives,False Positives,False Negatives,AUC,Validation Loss,Validation Accuracy,Validation True Positives,Validation True Negatives,Validation False Positives,Validation False Negatives,Validation AUC
taylor_sigmoid,20/04/2020 24:34,133.37188386917114,32,1,0.4113234942353002,0.7881460785865784,109218.0,107467.0,28265.0,29980.0,0.8895065188407898,0.196456484159375,0.9337598085403442,6779.0,6796.0,460.0,503.0,0.9742529392242432
taylor_sigmoid,20/04/2020 24:36,133.97314882278442,32,1,0.4332198522980917,0.7715818285942078,107016.0,105115.0,30467.0,32332.0,0.8749442100524902,0.2005821078900934,0.9300454258918762,6809.0,6712.0,430.0,587.0,0.973723292350769
taylor_sigmoid,20/04/2020 24:39,134.99870538711548,32,1,0.4434077503291551,0.7594660520553589,105378.0,103422.0,32105.0,34025.0,0.8654747605323792,0.19638038981356898,0.9335534572601318,6776.0,6796.0,463.0,503.0,0.9745751023292542
taylor_sigmoid,20/04/2020 24:41,136.77201414108276,32,1,0.41377334115274805,0.783977746963501,108584.0,106955.0,28899.0,30492.0,0.8870688080787659,0.1947680894602672,0.9341037273406982,6783.0,6797.0,456.0,502.0,0.9746645092964172
taylor_sigmoid,20/04/2020 24:43,137.7977340221405,32,1,0.4195750783463466,0.7791001200675964,107989.0,106209.0,29494.0,31238.0,0.8830138444900513,0.19549321338651202,0.9323840737342834,6782.0,6773.0,457.0,526.0,0.9747071862220764
taylor_sigmoid,20/04/2020 24:46,135.9090428352356,32,1,0.4276329826271053,0.7730040550231934,107112.0,105410.0,30371.0,32037.0,0.8776269555091858,0.1989942791435213,0.9295638799667358,6829.0,6685.0,410.0,614.0,0.9744715094566345
taylor_sigmoid,20/04/2020 24:48,138.01605987548828,32,1,0.4211536280484821,0.7778052687644958,107823.0,106019.0,29660.0,31428.0,0.8820988535881042,0.1958053750695151,0.933484673500061,6781.0,6790.0,458.0,509.0,0.9747613072395325
chebyshev_sigmoid,20/04/2020 25:10,1343.4992306232452,32,10,0.4615611650797373,0.7561379075050354,105546.0,102339.0,31937.0,35108.0,0.8580797910690308,0.20476282479502603,0.9299766421318054,6771.0,6749.0,468.0,550.0,0.9731490612030029
chebyshev_sigmoid,20/04/2020 25:13,149.21721506118774,32,1,0.47983052166578477,0.7395009398460388,103028.0,100283.0,34455.0,37164.0,0.841876208782196,0.2074029909513203,0.9285321235656738,6796.0,6703.0,443.0,596.0,0.9730244874954224
chebyshev_sigmoid,20/04/2020 25:16,151.72348308563232,32,1,0.4346533306028377,0.7838976979255676,109340.0,106177.0,28143.0,31270.0,0.8808718919754028,0.20663206527322994,0.9295638799667358,6784.0,6730.0,455.0,569.0,0.9726913571357727
chebyshev_sigmoid,20/04/2020 25:18,152.37615132331848,32,1,0.4378250554558996,0.7775470018386841,108297.0,105474.0,29186.0,31973.0,0.8765716552734375,0.20358974634904056,0.9290136098861694,6793.0,6713.0,446.0,586.0,0.9733956456184387
chebyshev_sigmoid,20/04/2020 25:21,150.82028889656067,32,1,0.4391960668068673,0.7749572396278381,107875.0,105184.0,29608.0,32263.0,0.8749017715454102,0.20142641257454202,0.931489884853363,6773.0,6769.0,466.0,530.0,0.9737018346786499
chebyshev_sigmoid,20/04/2020 25:23,152.69528150558472,32,1,0.4326458213842523,0.7766449451446533,108137.0,105386.0,29346.0,32061.0,0.8783764243125916,0.2002842354049199,0.931489884853363,6789.0,6753.0,450.0,546.0,0.9741281867027283
chebyshev_sigmoid,20/04/2020 25:26,148.86853909492493,32,1,0.436098058528631,0.7745680809020996,107954.0,104998.0,29529.0,32449.0,0.8763059973716736,0.20847531973040567,0.9296326637268066,6796.0,6719.0,443.0,580.0,0.9728977084159851
chebyshev_sigmoid,20/04/2020 25:29,153.94092178344727,32,1,0.44975850249205723,0.7634234428405762,106413.0,103475.0,31070.0,33972.0,0.8662596344947815,0.2104072243278629,0.9278442859649658,6822.0,6667.0,417.0,632.0,0.9727450013160706
chebyshev_sigmoid,20/04/2020 25:31,157.4424695968628,32,1,0.42035203952278183,0.7890772223472595,109978.0,106963.0,27505.0,30484.0,0.8881153464317322,0.20856474824367618,0.9283945560455322,6815.0,6682.0,424.0,617.0,0.9730138778686523
chebyshev_sigmoid,20/04/2020 25:34,154.86873388290405,32,1,0.4324320205018584,0.776990532875061,108229.0,105389.0,29254.0,32058.0,0.878699779510498,0.20155078967863305,0.9301829934120178,6795.0,6728.0,444.0,571.0,0.9739111661911011
chebyshev_sigmoid,20/04/2020 25:37,156.28379154205322,32,1,0.4337749927842517,0.7770159840583801,108146.0,105479.0,29337.0,31968.0,0.8776777982711792,0.2000623800097248,0.9301829934120178,6804.0,6719.0,435.0,580.0,0.9740714430809021
taylor_tanh,21/04/2020 02:02,1497.4160261154175,32,10,0.19185120860862043,0.9366565942764282,128757.0,128758.0,8726.0,8689.0,0.9754794836044312,0.1596534878398861,0.9479983448982239,6832.0,6950.0,407.0,349.0,0.9808765053749084
taylor_tanh,21/04/2020 02:05,169.203533411026,32,1,0.19353860854827204,0.9354562759399414,128712.0,128473.0,8771.0,8974.0,0.9752432107925415,0.16044685854730917,0.9475168585777283,6830.0,6945.0,409.0,354.0,0.9807250499725342
taylor_tanh,21/04/2020 02:07,168.32523775100708,32,1,0.19184347029507226,0.9357290863990784,128693.0,128567.0,8790.0,8880.0,0.975470244884491,0.16061710857684125,0.9477919936180115,6831.0,6948.0,408.0,351.0,0.9807174801826477
taylor_tanh,21/04/2020 02:10,169.888117313385,32,1,0.19254225386635976,0.9360091686248779,128748.0,128589.0,8735.0,8858.0,0.9753842353820801,0.16009559060659218,0.9464162588119507,6848.0,6911.0,391.0,388.0,0.9808861613273621
taylor_tanh,21/04/2020 02:13,170.3980314731598,32,1,0.19219768050985833,0.9358236789703369,128709.0,128577.0,8774.0,8870.0,0.9754087328910828,0.15926570881633192,0.9486861824989319,6819.0,6973.0,420.0,326.0,0.9808677434921265
taylor_tanh,21/04/2020 02:16,176.2235255241394,32,1,0.1914883067426592,0.9364783763885498,128729.0,128737.0,8754.0,8710.0,0.9755211472511292,0.15914724190554275,0.9485486149787903,6827.0,6963.0,412.0,336.0,0.9808989763259888
taylor_tanh,21/04/2020 02:19,178.56351161003113,32,1,0.19219339377873246,0.9359182119369507,128669.0,128643.0,8814.0,8804.0,0.975436806678772,0.15995191928875105,0.9471729397773743,6856.0,6914.0,383.0,385.0,0.9808428287506104
